sample_player,sample_athlete_id,sample_season,neighbor_rank,distance,distance_percentile,similarity_bucket
Nick Pringle,3205,2025,1,0.2627355645393837,91.08666666666667,Very Strong
Nick Pringle,3205,2025,2,0.27406603318879824,89.67333333333333,Very Strong
Nick Pringle,3205,2025,3,0.3208393075801536,79.52666666666667,Strong
Nick Pringle,3205,2025,4,0.37574143192205495,63.46000000000001,Average
Nick Pringle,3205,2025,5,0.41656202220060157,50.913333333333334,Average
Nick Pringle,3205,2025,6,0.4241289047584622,48.79333333333334,Weak
Nick Pringle,3205,2025,7,0.4407554044657482,43.82666666666667,Weak
Nick Pringle,3205,2025,8,0.44812568545424225,41.81333333333333,Weak
Nick Pringle,3205,2025,9,0.4592759889807978,39.08,Weak
Nick Pringle,3205,2025,10,0.4623906456499492,38.266666666666666,Weak
Dre Davis,592,2023,1,0.4334646367496545,45.739999999999995,Weak
Dre Davis,592,2023,2,0.4506175218251597,41.28,Weak
Dre Davis,592,2023,3,0.46771840429962747,36.980000000000004,Weak
Dre Davis,592,2023,4,0.4690359902867491,36.78,Weak
Dre Davis,592,2023,5,0.47318989783087523,35.92666666666667,Weak
Dre Davis,592,2023,6,0.47356940503026784,35.89333333333333,Weak
Dre Davis,592,2023,7,0.504955032406528,29.026666666666667,Weak
Dre Davis,592,2023,8,0.5092287183246688,28.26,Weak
Dre Davis,592,2023,9,0.513975044120403,27.353333333333335,Weak
Dre Davis,592,2023,10,0.5203661054755191,26.293333333333337,Weak
Devon Pryor,441,2025,1,0.258407978342954,91.69333333333334,Very Strong
Devon Pryor,441,2025,2,0.3293019272257438,77.46,Strong
Devon Pryor,441,2025,3,0.33369038925877503,76.12,Strong
Devon Pryor,441,2025,4,0.3664036809494015,66.83333333333333,Average
Devon Pryor,441,2025,5,0.3747321492524699,63.88,Average
Devon Pryor,441,2025,6,0.3774998050307246,62.92666666666666,Average
Devon Pryor,441,2025,7,0.38418402793407685,60.81999999999999,Average
Devon Pryor,441,2025,8,0.3853508164045708,60.49333333333333,Average
Devon Pryor,441,2025,9,0.3950783426755308,57.14,Average
Devon Pryor,441,2025,10,0.40553873648792665,54.08666666666667,Average
Kenneth Nwuba,17198,2021,1,0.3582318602178354,69.26666666666667,Average
Kenneth Nwuba,17198,2021,2,0.49277337503376695,31.52,Weak
Kenneth Nwuba,17198,2021,3,0.4998506780537931,29.9,Weak
Kenneth Nwuba,17198,2021,4,0.5161246796988672,26.979999999999997,Weak
Kenneth Nwuba,17198,2021,5,0.5185370582252812,26.6,Weak
Kenneth Nwuba,17198,2021,6,0.526251839204954,25.4,Weak
Kenneth Nwuba,17198,2021,7,0.526251839204954,25.4,Weak
Kenneth Nwuba,17198,2021,8,0.5379391754962055,23.586666666666666,Weak
Kenneth Nwuba,17198,2021,9,0.5475468668164947,22.36,Weak
