feature,importance,weight,source,training_rows
ws_per_min,0.08227659996625449,0.0711627219748129,extratrees_dev_per,55716
mpg,0.3114188683239744,0.21623013713498154,extratrees_dev_per,55716
major_conference_num,0.02595077077298076,0.04324602742699631,extratrees_dev_per,55716
reb_per_min,0.05477465542179538,0.047375725013504705,extratrees_dev_per,55716
3pa_per_min,0.053319086635914975,0.04611677366078343,extratrees_dev_per,55716
usage_pct,0.06471942573895145,0.05597716121132291,extratrees_dev_per,55716
blk_per_min,0.043753334975489784,0.04324602742699631,extratrees_dev_per,55716
stl_per_min,0.05353697968205729,0.046305233833775876,extratrees_dev_per,55716
ast_per_min,0.06880574746238978,0.0595115048378698,extratrees_dev_per,55716
pts_per_min,0.06757913796425118,0.058450585077895474,extratrees_dev_per,55716
efg_pct,0.050978823590344946,0.04409263206368128,extratrees_dev_per,55716
experience_year,0.06018510404253026,0.0520553332023978,extratrees_dev_per,55716
pos_bucket,0.029116452399964222,0.04324602742699631,extratrees_dev_per,55716
recruit_rank_log,0.00761565911830971,0.04324602742699631,extratrees_dev_per,55716
recruit_rating,0.007562241842768216,0.04324602742699631,extratrees_dev_per,55716
recruit_stars,0.004529349020341691,0.04324602742699631,extratrees_dev_per,55716
has_recruit_rank,0.013877763041681392,0.04324602742699631,extratrees_dev_per,55716
