id,sourceId,position,schoolId,school,hometown,committedTo,athleteId,year,name,heightInches,weightPounds,stars,rating,ranking,recruiting_year,committed_team,name_key,freshman_season,rank_bin,season,freshman_mpg,freshman_usage,freshman_reb_pg
8113,18541,SG,2150.0,Sprague,"{'city': 'Salem', 'country': None, 'countyFips': '41047', 'latitude': 44.9391565, 'longitude': -123.033121, 'state': 'OR'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",47076.0,2013,A.J. Lapray,76.0,180.0,3,0.8281,308,2013,Oregon,a j lapray,2014,other_ranked,2014,2.5,9.5,0.0
7347,34103,SF,966.0,Findlay Prep,"{'city': 'Toronto', 'country': None, 'countyFips': None, 'latitude': 39.75946455, 'longitude': -87.50111485527069, 'state': 'ON'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",53003.0,2014,Dillon Brooks,77.0,185.0,4,0.9673,58,2014,Oregon,dillon brooks,2015,top_75,2015,28.333333333333332,22.6,4.888888888888889
7382,13372,PF,99.0,Long Beach Poly,"{'city': 'Long Beach', 'country': None, 'countyFips': '06037', 'latitude': 33.7690164, 'longitude': -118.191604, 'state': 'CA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",53000.0,2014,Jordan Bell,79.0,225.0,4,0.9387,93,2014,Oregon,jordan bell,2015,top_150,2015,23.742857142857144,11.5,6.114285714285714
7397,19966,PG,374.0,Lincoln,"{'city': 'Tacoma', 'country': None, 'countyFips': '53053', 'latitude': 47.2455013, 'longitude': -122.438329, 'state': 'WA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",44193.0,2014,Ahmaad Rorie,73.0,180.0,4,0.9298,109,2014,Oregon,ahmaad rorie,2015,top_150,2015,18.75,13.6,2.1944444444444446
7481,22990,PG,1386.0,Corona Del Sol,"{'city': 'Tempe', 'country': None, 'countyFips': '04013', 'latitude': 33.4255117, 'longitude': -111.940016, 'state': 'AZ'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",47457.0,2014,Casey Benson,75.0,170.0,3,0.8761,193,2014,Oregon,casey benson,2015,top_250,2015,19.63888888888889,10.4,1.9166666666666667
6802,14237,PG,1602.0,Maranatha,"{'city': 'Los Angeles', 'country': None, 'countyFips': '06037', 'latitude': 34.0536909, 'longitude': -118.242766, 'state': 'CA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",53001.0,2015,Tyler Dorsey,76.0,180.0,4,0.9822,34,2015,Oregon,tyler dorsey,2016,top_75,2016,30.083333333333332,22.2,4.305555555555555
6870,20453,PF,76.0,Oak Hill Academy,"{'city': 'Mouth Of Wilson', 'country': None, 'countyFips': '51077', 'latitude': 36.5895679, 'longitude': -81.3364889, 'state': 'VA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",52919.0,2015,Trevor Manuel,81.0,215.0,4,0.9342,103,2015,Oregon,trevor manuel,2016,top_150,2016,7.111111111111111,14.7,1.0
6876,28946,PG,754.0,Mayfair,"{'city': 'Lakewood', 'country': None, 'countyFips': '06037', 'latitude': 33.8503463, 'longitude': -118.117191, 'state': 'CA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",39597.0,2015,Kendall Small,73.0,160.0,4,0.9303,109,2015,Oregon,kendall small,2016,top_150,2016,7.805555555555555,13.7,0.7222222222222222
6361,25295,PG,356.0,West Linn,"{'city': 'West Linn', 'country': None, 'countyFips': '41005', 'latitude': 45.3656761, 'longitude': -122.612314, 'state': 'OR'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",34903.0,2016,Payton Pritchard,72.0,188.0,4,0.971,52,2016,Oregon,payton pritchard,2017,top_75,2017,28.333333333333332,15.1,3.358974358974359
6415,69220,SF,83.0,Rainier Beach,"{'city': 'Seattle', 'country': None, 'countyFips': '53033', 'latitude': 47.6038321, 'longitude': -122.330062, 'state': 'WA'}","{'conference': 'Pac-12', 'id': 223.0, 'name': 'Oregon'}",36587.0,2016,Keith Smith,79.0,190.0,4,0.934,106,2016,Oregon,keith smith,2017,top_150,2017,6.444444444444445,18.7,0.9629629629629629
